domain,dataset,problem_id,problem_key,run_index,is_correct,parse_ok,think_chars,think_total_chars,knot_present,knot_present_bin,knot_severity,primary_trigger,trace_strategy,reversal_count,state_consistency,recovers_later,annotator_confidence,knot_quote,open_diagnosis,knot_symptoms,knot_count,sym_entity_binding_drift,sym_mechanism_frame_swap,sym_constraint_mismatch,sym_evidence_misread,sym_unit_scale_slip,sym_repair_without_recovery
science,gpqa,gpqa-13,gpqa:gpqa-13,11,0,1,12010,12010,yes,1,2,constraint_tracking,mechanism_tracing,3,recovered_break,yes,medium,"PFA fixation can cross-link, but DSG might be a stronger cross-linker that cross-links DNA more, leading to problems in regions with high GC content or repeats.","The model initially commits to PFA fixation for cross-linking, but later introduces DSG as a stronger cross-linker without acknowledging the change in constraint. This leads to a mismatch in the active mechanism and requires multiple revisions to recover a consistent state.",constraint_mismatch|repair_without_recovery,2,0,0,1,0,0,1
science,gpqa,gpqa-13,gpqa:gpqa-13,21,1,1,11971,11971,yes,1,2,symbol_binding,symbolic_manipulation,3,minor_slip,yes,medium,"DSG is probably formaldehyde, but DSG – is that diglycine sulfate or something? In some contexts, DSG might refer to diethyl glycol sebacate or another fixative, but I think in this context, it's likely that DSG is formaldehyde...","The model exhibits instability in its reasoning about the identity of DSG, leading to a shift in the mechanism frame and constraint use without immediate correction. This instability is not resolved until later in the reasoning.",entity_binding_drift|mechanism_frame_swap|constraint_mismatch,3,1,1,1,0,0,0
science,gpqa,gpqa-13,gpqa:gpqa-13,48,0,1,12723,12723,yes,1,2,symbol_binding,symbolic_manipulation,3,minor_slip,yes,medium,"DSG – I think it might be DSG for Disuccinimidyl glutarate or something, but in the context, PFA+DSG fixation. Perhaps DSG is a fixative like formaldehyde or something else.","The model exhibits instability in its reasoning about the DSG fixation, leading to a drift in entity identity (DSG as a fixative vs. cross-linker), a swap in mechanism frame (fixation method affecting protein-DNA interactions), and a mismatch in constraint (DSG's role in the fixation process). These inconsistencies are not immediately corrected, but the model does attempt to resolve them later.",entity_binding_drift|mechanism_frame_swap|constraint_mismatch,3,1,1,1,0,0,0
science,gpqa,gpqa-13,gpqa:gpqa-13,49,1,1,11973,11973,yes,1,2,symbol_binding,mechanism_tracing,1,minor_slip,yes,medium,PFA is good for preserving antigenicity and is often used in ChIP. But perhaps DSG fixation alters the cross-linking or the stability of protein-DNA complexes.,"The model initially commits to PFA's role in preserving antigenicity and its use in ChIP. However, it later introduces a new mechanism where DSG fixation alters cross-linking and stability, which is a shift in the mechanism frame and a mismatch with the initial constraint of PFA's role.",mechanism_frame_swap|constraint_mismatch,2,0,1,1,0,0,0
science,gpqa,gpqa-146,gpqa:gpqa-146,45,1,1,15214,15214,yes,1,2,symbol_binding,mechanism_tracing,3,recovered_break,yes,medium,"Perhaps A is a meson or something. m_A c² = 300 MeV, so it's a particle with mass 300 MeV/c².","The model initially identifies A as a particle with mass 300 MeV/c², but later considers it a meson or hypothetical particle without clarifying the change in identity. This creates a drift in the entity's identity and a mismatch in the mechanism frame, as the model switches between different interpretations of A without acknowledging the change.",entity_binding_drift|mechanism_frame_swap|constraint_mismatch,3,1,1,1,0,0,0
science,gpqa,gpqa-146,gpqa:gpqa-146,47,1,1,15621,24297,yes,1,2,symbol_binding,mechanism_tracing,3,minor_slip,yes,medium,"The antiproton is slowly moving, so its total energy E_p = γ m_p c^2, with γ ≈ 1, so E_p ≈ 938 MeV.","The model initially assumes the antiproton is at rest, which leads to an incorrect energy calculation. It later acknowledges the antiproton is slowly moving, but the energy calculation remains incorrect due to the assumption of γ ≈ 1. The model does not correct this assumption, leading to a minor slip in the active scientific state.",entity_binding_drift|mechanism_frame_swap|constraint_mismatch,3,1,1,1,0,0,0
science,gpqa,gpqa-146,gpqa:gpqa-146,51,1,1,15618,20757,yes,1,2,constraint_tracking,mechanism_tracing,3,recovered_break,yes,medium,"In the CM frame, the total energy is E_cm = sqrt( s ) ≈ 1876 MeV","The model initially assumes the total energy in the center of mass frame (CM frame) is approximately 1876 MeV, but later in the reasoning, it revisits this assumption multiple times without acknowledging the change, leading to a mismatch in the constraint of energy conservation. The model attempts to repair this by revisiting the same calculation multiple times, but the inconsistency remains.",constraint_mismatch|repair_without_recovery,2,0,0,1,0,0,1
science,gpqa,gpqa-146,gpqa:gpqa-146,57,0,1,15619,27744,yes,1,2,symbol_binding,mechanism_tracing,3,recovered_break,yes,medium,"The antiproton is slowly moving, so I can assume that in the center of mass frame, since it's slow, the total energy might be dominated by the rest mass.","The model initially assumes the antiproton is at rest in the center of mass frame, which leads to a drift in entity identity and a mismatch in the mechanism frame. The constraint of energy conservation is also violated when considering the antiproton's kinetic energy. The model later corrects these assumptions but does so in a way that suggests the instability was not fully contained.",entity_binding_drift|mechanism_frame_swap|constraint_mismatch,3,1,1,1,0,0,0
science,gpqa,gpqa-148,gpqa:gpqa-148,4,1,1,9539,9539,yes,1,2,assumption_tracking,evidence_matching,1,minor_slip,yes,medium,"But here, there are two peaks for the same proton, which suggests different chemical shifts, so probably not enantiomers, because enantiomers should give the same NMR signal.","The model initially assumes that enantiomers would give the same NMR signal, but later acknowledges that the presence of two peaks suggests different chemical shifts, which is inconsistent with the assumption of identical signals for enantiomers.",mechanism_frame_swap|constraint_mismatch,2,0,1,1,0,0,0
science,gpqa,gpqa-148,gpqa:gpqa-148,14,0,1,15497,17351,yes,1,2,symbol_binding,mechanism_tracing,3,lost_state,no,medium,"In NMR, the two peaks for alpha-proton have similar chemical shifts, not necessarily different. It says 'similar chemical shifts', but it might be that they are not identical, just close.","The model's reasoning becomes inconsistent when discussing the similarity of chemical shifts for the alpha-proton peaks. It initially suggests that the shifts are similar but not identical, which implies a potential for different environments. However, later reasoning does not acknowledge this inconsistency, leading to a loss of state consistency.",entity_binding_drift|mechanism_frame_swap|constraint_mismatch,3,1,1,1,0,0,0
